"dtype","param","subjid","fidtc","afidtc","aval"
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","USB_2024-09-30 00:00:00",0.16115056122734053
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UPS_2020-12-31 00:00:00",0.7248652029231222
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UPS_2021-12-31 00:00:00",0.7840467280346328
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UPS_2022-12-31 00:00:00",0.8018669427062923
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UPS_2023-12-31 00:00:00",0.8104767257555264
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UPS_2024-09-30 00:00:00",0.33579463425703837
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNP_2020-12-31 00:00:00",0.7026486272656832
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNP_2021-12-31 00:00:00",0.7143902900211904
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNP_2022-12-31 00:00:00",0.7094331044687853
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNP_2023-12-31 00:00:00",0.7061128238266653
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNP_2024-09-30 00:00:00",0.259234806398595
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNLRF_2020-12-31 00:00:00",0.46417701540000644
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNLRF_2021-12-31 00:00:00",0.4640833631477557
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNLRF_2022-12-31 00:00:00",0.44409830459307886
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNLRF_2023-12-31 00:00:00",0.428434877637032
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNLRF_2024-09-30 00:00:00",0.17737038485612452
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNICY_2020-12-31 00:00:00",0.8212512977080151
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNICY_2021-12-31 00:00:00",0.821607093953679
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNICY_2022-12-31 00:00:00",0.8206719654088638
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNICY_2023-12-31 00:00:00",0.8158294405856714
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","UNICY_2024-06-30 00:00:00",0.32909242219667667
