"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"MO","BALANCE SHEET","MSFT","OtherEquityAdjustments",1822000000,"USD","2021-06-30 00:00:00","12M",0.010839560230355528,"",""
"MO","BALANCE SHEET","MSFT","OtherEquityAdjustments",-4678000000,"USD","2022-06-30 00:00:00","12M",-0.02359408886871438,"2022-06-30_2021-06-30",-3.5675082327113063
"MO","BALANCE SHEET","MSFT","OtherEquityAdjustments",-6343000000,"USD","2023-06-30 00:00:00","12M",-0.029931812283226767,"2023-06-30_2022-06-30",0.3559213339033775
"MO","BALANCE SHEET","MSFT","OtherEquityAdjustments",-5590000000,"USD","2024-06-30 00:00:00","12M",-0.022804970586075505,"2024-06-30_2023-06-30",-0.1187135424877818
"MO","BALANCE SHEET","DIOD","OtherIntangibleAssets",110591000,"USD","2020-12-31 00:00:00","12M",0.08996880122679922,"",""
"MO","BALANCE SHEET","DIOD","OtherIntangibleAssets",94550000,"USD","2021-12-31 00:00:00","12M",0.052377570544915084,"2021-12-31_2020-12-31",-0.14504796954544222
"MO","BALANCE SHEET","DIOD","OtherIntangibleAssets",79137000,"USD","2022-12-31 00:00:00","12M",0.039557028461746094,"2022-12-31_2021-12-31",-0.16301427815970387
"MO","BALANCE SHEET","DIOD","OtherIntangibleAssets",63937000,"USD","2023-12-31 00:00:00","12M",0.038475958017474464,"2023-12-31_2022-12-31",-0.19207197644591026
"MO","BALANCE SHEET","MSFT","OtherIntangibleAssets",7800000000,"USD","2021-06-30 00:00:00","12M",0.04640426443291609,"",""
"MO","BALANCE SHEET","MSFT","OtherIntangibleAssets",11298000000,"USD","2022-06-30 00:00:00","12M",0.056982902103192616,"2022-06-30_2021-06-30",0.44846153846153847
"MO","BALANCE SHEET","MSFT","OtherIntangibleAssets",9366000000,"USD","2023-06-30 00:00:00","12M",0.04419696576457542,"2023-06-30_2022-06-30",-0.17100371747211895
"MO","BALANCE SHEET","MSFT","OtherIntangibleAssets",27597000000,"USD","2024-06-30 00:00:00","12M",0.11258475371447688,"2024-06-30_2023-06-30",1.9465086483023704
"MO","BALANCE SHEET","DIOD","OtherNonCurrentAssets",97892000,"USD","2020-12-31 00:00:00","12M",0.07963781763157787,"",""
"MO","BALANCE SHEET","DIOD","OtherNonCurrentAssets",159048000,"USD","2021-12-31 00:00:00","12M",0.08810732776338079,"2021-12-31_2020-12-31",0.6247292935071304
"MO","BALANCE SHEET","DIOD","OtherNonCurrentAssets",130709000,"USD","2022-12-31 00:00:00","12M",0.06533555268971998,"2022-12-31_2021-12-31",-0.17817891454152204
"MO","BALANCE SHEET","DIOD","OtherNonCurrentAssets",171990000,"USD","2023-12-31 00:00:00","12M",0.10350000812401948,"2023-12-31_2022-12-31",0.31582369997475307
"MO","BALANCE SHEET","MSFT","OtherNonCurrentAssets",15075000000,"USD","2021-06-30 00:00:00","12M",0.08968516491361668,"",""
"MO","BALANCE SHEET","MSFT","OtherNonCurrentAssets",21897000000,"USD","2022-06-30 00:00:00","12M",0.11044030866999546,"2022-06-30_2021-06-30",0.4525373134328358
"MO","BALANCE SHEET","MSFT","OtherNonCurrentAssets",30601000000,"USD","2023-06-30 00:00:00","12M",0.14440223674586508,"2023-06-30_2022-06-30",0.39749737406950725
"MO","BALANCE SHEET","MSFT","OtherNonCurrentAssets",36460000000,"USD","2024-06-30 00:00:00","12M",0.14874225895676438,"2024-06-30_2023-06-30",0.19146433123100554
"MO","BALANCE SHEET","DIOD","OtherNonCurrentLiabilities",4905000,"USD","2020-12-31 00:00:00","12M",0.003990351565836733,"",""
"MO","BALANCE SHEET","DIOD","OtherNonCurrentLiabilities",8356000,"USD","2021-12-31 00:00:00","12M",0.004628947429648973,"2021-12-31_2020-12-31",0.7035677879714577
"MO","BALANCE SHEET","DIOD","OtherNonCurrentLiabilities",13188000,"USD","2022-12-31 00:00:00","12M",0.006592088294394625,"2022-12-31_2021-12-31",0.5782671134514121
"MO","BALANCE SHEET","DIOD","OtherNonCurrentLiabilities",21487000,"USD","2023-12-31 00:00:00","12M",0.012930430109662227,"2023-12-31_2022-12-31",0.6292841977555353
"MO","BALANCE SHEET","MSFT","OtherNonCurrentLiabilities",13427000000,"USD","2021-06-30 00:00:00","12M",0.07988077673599543,"",""
"MO","BALANCE SHEET","MSFT","OtherNonCurrentLiabilities",15526000000,"USD","2022-06-30 00:00:00","12M",0.07830735865234277,"2022-06-30_2021-06-30",0.15632680420049155
"MO","BALANCE SHEET","MSFT","OtherNonCurrentLiabilities",17981000000,"USD","2023-06-30 00:00:00","12M",0.08485005780619588,"2023-06-30_2022-06-30",0.15812186010562926
"MO","BALANCE SHEET","MSFT","OtherNonCurrentLiabilities",27064000000,"USD","2024-06-30 00:00:00","12M",0.11041032628650223,"2024-06-30_2023-06-30",0.5051443190033925
"MO","BALANCE SHEET","MSFT","OtherProperties",11088000000,"USD","2021-06-30 00:00:00","12M",0.06596544667079149,"",""
"MO","BALANCE SHEET","MSFT","OtherProperties",13148000000,"USD","2022-06-30 00:00:00","12M",0.06631361275029,"2022-06-30_2021-06-30",0.18578643578643578
"MO","BALANCE SHEET","MSFT","OtherProperties",14346000000,"USD","2023-06-30 00:00:00","12M",0.06769695396739259,"2023-06-30_2022-06-30",0.09111651962275631
"MO","BALANCE SHEET","MSFT","OtherProperties",18961000000,"USD","2024-06-30 00:00:00","12M",0.07735331793963822,"2024-06-30_2023-06-30",0.32169245782796596
"MO","BALANCE SHEET","DIOD","OtherShortTermInvestments",6142000,"USD","2020-12-31 00:00:00","12M",0.004996684876120126,"",""
"MO","BALANCE SHEET","DIOD","OtherShortTermInvestments",6542000,"USD","2021-12-31 00:00:00","12M",0.00362405147017276,"2021-12-31_2020-12-31",0.0651253663301856
"MO","BALANCE SHEET","DIOD","OtherShortTermInvestments",7059000,"USD","2022-12-31 00:00:00","12M",0.003528476741744894,"2022-12-31_2021-12-31",0.07902782023845918
"MO","BALANCE SHEET","DIOD","OtherShortTermInvestments",10174000,"USD","2023-12-31 00:00:00","12M",0.006122501788788733,"2023-12-31_2022-12-31",0.4412806346508004
