maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,fiveYearAvgDividendYield,yield,ytdReturn,totalAssets
1,2,330.16,329.72,327.44,336.41,330.16,329.72,327.44,336.41,2.86,0.0085,2024-11-15 01:00:00,0.2736,1.175,33.444775,26.30047,1033985.0,1033985.0,1948551,1436830,1436830,0.0,0.0,800.0,800.0,84652826624.0,282.09,400.42,3.6720161,367.7712,343.791,2.75,0.008329295,USD,,,,,,False,SHW,0.84,,,
1,2,418.23,414.86,401.8,414.86,418.23,414.86,401.8,414.86,,,2012-03-16 01:00:00,0.0,1.326,16.183495,17.66244,787424.0,787424.0,1013128,807300,807300,403.72,404.21,100.0,100.0,18731708416.0,318.17,574.76,1.6545742,398.8546,392.5587,0.0,0.0,USD,,,,,,False,ULTA,,,,
1,2,70.2,68.7,67.395,68.7,70.2,68.7,67.395,68.7,0.66,0.0097,2024-12-17 01:00:00,0.28370002,1.238,39.27586,31.638885,5439764.0,5439764.0,6568180,4769110,4769110,0.0,0.0,1000.0,900.0,82391384064.0,47.375,75.78,5.7890015,71.7248,65.9995,0.495,0.0070512826,USD,,,,,,False,APH,0.93,,,
1,2,176.15,174.49,174.11,176.71,176.15,174.49,174.11,176.71,1.12,0.0063,2024-12-06 01:00:00,0.1899,1.163,30.74913,24.178082,779003.0,779003.0,1121421,785160,785160,0.0,0.0,800.0,800.0,40825860096.0,149.03,198.33,5.9078326,187.0906,174.21025,1.09,0.0061879084,USD,,,,,,False,AME,0.63,,,
1,2,173.46,174.66,173.78,177.18,173.46,174.66,173.78,177.18,6.48,0.0366,2024-12-27 01:00:00,1.5807,0.842,42.533657,26.05891,1884720.0,1884720.0,2521743,2201400,2201400,0.0,0.0,1800.0,2900.0,82682118144.0,170.46,243.56,7.4036837,196.8654,204.45055,6.56,0.037818514,USD,,,,,,False,AMT,2.45,,,
1,2,41.46,40.93,40.93,41.03,41.46,40.93,40.93,41.03,0.69,0.0168,2024-04-26 02:00:00,0.45290002,1.082,27.536911,45.08791,2096.0,2096.0,17355,29390,29390,40.95,41.02,47300.0,47300.0,17206175744.0,34.87,48.46,0.25880954,43.0492,43.6436,7.5,0.18089725,USD,,,,,,False,ALFVY,2.6,,,
1,2,175.17,175.16,174.35,177.98,175.17,175.16,174.35,177.98,6.56,0.037100002,2025-01-15 01:00:00,2.1359,0.613,61.797207,14.570487,3318858.0,3318858.0,6392526,4277700,4277700,0.0,0.0,900.0,1000.0,312324325376.0,153.58,207.32,5.624121,180.0314,178.81384,6.2,0.035394188,USD,,,,,,False,ABBV,4.11,,,
1,2,163.32,163.55,162.69,166.87,163.32,163.55,162.69,166.87,2.0,0.012,2025-01-21 01:00:00,0.3141,0.896,31.263159,26.233438,1727301.0,1727301.0,2487681,2202040,2202040,0.0,0.0,800.0,1000.0,75037761536.0,144.8,200.53,8.199056,172.8102,176.0455,1.671,0.010231447,USD,,,,,,False,ZTS,0.69,,,
1,2,120.85,120.45,120.45,120.45,120.85,120.45,120.45,120.45,,,,,,,,0.0,0.0,11,25,25,120.55,121.5,0.0,0.0,,115.95,133.3,,128.142,124.847,,,EUR,,,,,,False,TGR.BE,,,,
1,2,43.17,42.91,42.8429,44.07,43.17,42.91,42.8429,44.07,,,,0.0,1.127,17.448414,9.295983,517364.0,517364.0,560315,356430,356430,0.0,0.0,800.0,900.0,1907229568.0,39.85,72.57,1.4573511,49.4478,51.66355,0.0,0.0,USD,,,,,,False,WNS,,,,
1,2,39.7,39.7,39.72,40.2578,39.7,39.7,39.72,40.2578,3.5,0.0876,2024-11-01 01:00:00,0.7417,2.818,10.219949,10.799999,1215750.0,1215750.0,1270881,886740,886740,0.0,0.0,900.0,1400.0,15206977536.0,27.49,42.8,4.3019204,38.6082,38.26945,3.2,0.08060453,USD,,,,,,False,WES,10.48,,,
1,2,331.73,331.73,331.81,340.43,331.73,331.73,331.81,340.43,0.84,0.0025,2024-11-13 01:00:00,0.1187,1.003,50.535717,45.159576,414730.0,414730.0,613043,411210,411210,0.0,0.0,800.0,800.0,24594647040.0,265.0,413.7,8.550496,324.6168,325.9061,0.8,0.0024115997,USD,,,,,,False,WST,0.24,,,
1,2,8225.0,8305.0,8120.0,8496.0,8225.0,8305.0,8120.0,8496.0,,,2024-12-13 01:00:00,0.5426,0.103,7.9884024,8.979513,74628.0,74628.0,0,0,0,8400.0,8300.0,400.0,9400.0,1130801790976.0,8120.0,12350.0,194.66376,12350.0,12350.0,0.0,0.0,RUB,,,,,,False,PLZL.ME,,,,
1,2,0.0,5.58,5.58,5.58,0.0,5.58,5.58,5.58,0.23,0.0431,2024-09-09 02:00:00,0.8997,,23.391304,,2000.0,2000.0,13970,18460,18460,5.35,5.39,40000.0,40000.0,2146399488.0,5.25,8.24,,5.6934,6.50075,0.0,NaN,USD,,,,,,False,EKTAY,2.66,,,
1,2,42.81,42.81,42.81,44.41,42.81,42.81,42.81,44.41,0.2,0.0047,2024-07-12 02:00:00,0.2326,0.293,51.5,43.42157,33775503.0,33775503.0,43325345,28903172,28903172,44.29,44.3,0.0,0.0,282525892608.0,35.51,57.53,10.868279,47.4646,45.0984,0.2,0.0046718055,CNY,,,,,,False,600276.SS,0.34,,,
1,2,1443.98,1444.95,1442.0,1478.68,1443.98,1444.95,1442.0,1478.68,47.76,0.033099998,2024-12-20 01:00:00,0.4691,0.753,22.361427,19.029465,3095657.0,3095657.0,3411698,3235359,3235359,1472.5,1472.65,0.0,0.0,1849754386432.0,1245.83,1910.0,11.196967,1528.8162,1540.6895,30.876,0.021382568,CNY,,,,,,False,600519.SS,1.31,,,
1,2,42.28,42.3,41.92,43.18,42.28,42.3,41.92,43.18,0.66,0.0156,2024-06-19 02:00:00,0.6,0.44,39.081818,34.11905,9196016.0,9196016.0,11861592,8898236,8898236,42.99,43.0,0.0,0.0,239050211328.0,33.02,52.99,9.086441,45.7992,39.57935,0.66,0.015610219,CNY,,,,,,False,603288.SS,1.14,,,
1,2,170.32,168.75,168.75,175.39,170.32,168.75,168.75,175.39,,,,0.0,1.574,22.270649,10.267721,577129.0,577129.0,421696,318010,318010,0.0,0.0,900.0,800.0,6972818944.0,165.51,244.04,2.626297,178.4034,192.69545,0.0,0.0,USD,,,,,,False,WEX,,,,
1,2,0.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,1.32,0.030299999,2024-09-03 02:00:00,0.8595,0.837,31.294964,,225.0,225.0,13,20,20,41.4,46.18,40000.0,41800.0,49566941184.0,36.65,46.45,1.1217031,44.0072,44.9384,1.98,Infinity,USD,,,,,,False,WFAFF,5.75,,,
1,2,53.35,0.0,0.0,0.0,53.35,0.0,0.0,0.0,0.4,0.0075,2024-12-23 01:00:00,0.5152,0.576,36.724136,31.69643,0.0,0.0,6435288,5509625,5509625,52.93,52.94,0.0,0.0,223832113152.0,0.0,59.83,6.2652526,54.6776,48.4863,0.606,0.011358951,BRL,,,,,,False,WEGE3.SA,0.78,,,
1,2,240.75,247.5,222.0,248.0,240.75,247.5,222.0,248.0,3.76,0.0156,2025-01-17 01:00:00,0.67910004,-0.085,43.506718,37.528145,294972.0,294972.0,102816,99880,99880,225.11,228.39,100.0,100.0,3070517248.0,211.03,292.36,5.199358,265.6038,249.23225,0.0,0.0,USD,,,,,,False,WDFC,1.4,,,
1,2,380.35,381.21,384.1,400.605,380.35,381.21,384.1,400.605,,,1996-11-26 01:00:00,0.0,0.973,38.155537,30.925753,463132.0,463132.0,494495,317890,317890,397.75,402.0,800.0,1000.0,23742760960.0,279.24,400.605,8.172654,373.9974,338.13495,0.0,0.0,USD,,,,,,False,WAT,,,,
1,2,174.8,174.0,173.6,176.769,174.8,174.0,173.6,176.769,1.26,0.0070999996,2024-11-07 01:00:00,0.3132,0.72,48.541206,32.599632,783691.0,783691.0,958821,882460,882460,0.0,0.0,800.0,900.0,45587787776.0,145.35,194.83,5.2430387,181.4006,176.44205,1.14,0.006521739,USD,,,,,,False,WCN,0.69,,,
1,2,28.04,27.53,27.5,28.1,28.04,27.53,27.5,28.1,0.58,0.0207,2024-12-09 01:00:00,0.6268,0.142,18.85135,15.942857,21964.0,21964.0,179325,113010,113010,27.91,27.98,40000.0,40000.0,48675176448.0,25.01,43.9,0.051965784,27.5228,32.80075,1.18,0.042082734,USD,,,,,,False,WMMVY,2.84,,,
1,2,93.0,92.12,91.1,92.43,93.0,92.12,91.1,92.43,0.83,0.0099,2024-12-12 01:00:00,0.4141,0.516,37.82231,33.650734,14090338.0,14090338.0,15830688,12643990,12643990,0.0,0.0,800.0,800.0,735296159744.0,53.44,96.18,1.1056503,89.5952,74.75215,0.0,0.0,USD,,,,,,False,WMT,1.52,,,
1,2,307.71,305.0,303.84,306.92,307.71,305.0,303.84,306.92,2.36,0.0077,2024-11-12 01:00:00,0.2138,0.952,31.543682,24.243288,4053562.0,4053562.0,6115175,4677590,4677590,0.0,0.0,1200.0,1000.0,594341396480.0,252.7,321.62,16.54349,309.9152,282.6417,2.15,0.0069870986,USD,,,,,,False,V,0.67,,,
1,2,268.63,267.4,266.655,275.71,268.63,267.4,266.655,275.71,1.56,0.0057,2024-12-13 01:00:00,0.233,0.862,42.576508,37.78738,841493.0,841493.0,685445,769550,769550,251.5,291.8,200.0,200.0,38899396608.0,217.34,296.58,13.777988,281.8364,264.4957,1.51,0.0056211143,USD,,,,,,False,VRSK,0.6,,,
1,2,37.47,35.98,35.98,36.54,37.47,35.98,35.98,36.54,0.68,0.0187,2024-05-16 02:00:00,0.9258,1.186,50.054794,,1960.0,1960.0,24973,33220,33220,36.17,36.52,47300.0,40000.0,10954546176.0,35.89,59.72,12.431805,39.47946,48.06896,6.25,0.1668001,USD,,,,,,False,VACNY,,,,
1,2,47.38,47.54,47.41,48.41,47.38,47.54,47.41,48.41,2.0,0.041300002,2024-12-31 01:00:00,0.6062,1.04,14.889231,11.17552,6523797.0,6523797.0,7818036,5820170,5820170,0.0,0.0,1100.0,800.0,75489845248.0,37.81,53.98,3.0320861,50.0864,44.7343,1.97,0.041578725,USD,,,,,,False,USB,4.13,,,
1,2,123.28,123.34,121.56,125.1676,123.28,123.34,121.56,125.1676,6.52,0.052199997,2024-11-18 01:00:00,0.9834,0.982,18.855204,14.189557,5219730.0,5219730.0,4203531,3735170,3735170,0.0,0.0,1000.0,800.0,106679787520.0,121.56,161.35,1.1763645,129.967,135.1618,6.51,0.052806623,USD,,,,,,False,UPS,3.32,,,
