"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod"
"MO","INCOME STATEMENT","MSFT","InterestIncomeNonOperating",2672000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","MinorityInterests",-1141000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","MinorityInterests",-7525000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","MinorityInterests",-7972000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","MinorityInterests",-3466000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","MinorityInterests",-4645000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","NetIncome",98088000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncome",228763000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncome",331283000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncome",227182000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncome",61075000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","NetIncome",61271000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncome",72738000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncome",72361000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncome",88136000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncome",90512000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","NetIncomeCommonStockholders",98088000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeCommonStockholders",228763000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeCommonStockholders",331283000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeCommonStockholders",227182000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeCommonStockholders",61075000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","NetIncomeCommonStockholders",61271000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeCommonStockholders",72738000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeCommonStockholders",72361000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeCommonStockholders",88136000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeCommonStockholders",90512000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","NetIncomeContinuousOperations",99229000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeContinuousOperations",236288000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeContinuousOperations",339255000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeContinuousOperations",230648000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeContinuousOperations",65720000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","NetIncomeContinuousOperations",61271000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeContinuousOperations",72738000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeContinuousOperations",72361000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeContinuousOperations",88136000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeContinuousOperations",90512000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","NetIncomeFromContinuingAndDiscontinuedOperation",98088000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeFromContinuingAndDiscontinuedOperation",228763000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeFromContinuingAndDiscontinuedOperation",331283000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeFromContinuingAndDiscontinuedOperation",227182000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","NetIncomeFromContinuingAndDiscontinuedOperation",61075000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","NetIncomeFromContinuingAndDiscontinuedOperation",61271000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeFromContinuingAndDiscontinuedOperation",72738000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeFromContinuingAndDiscontinuedOperation",72361000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeFromContinuingAndDiscontinuedOperation",88136000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","NetIncomeFromContinuingAndDiscontinuedOperation",90512000000,"USD","2024-09-30 00:00:00","TTM"
